timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 21:04:23.752, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:26.799, 40 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:29.847, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:32.894, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:35.940, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:38.987, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:42.034, 38 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:45.080, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:48.126, 40 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:51.174, 39 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:04:54.220, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:04:57.267, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:05:00.315, 38 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:05:03.392, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:05:06.468, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:05:09.516, 39 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:05:12.564, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:05:15.612, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:05:18.660, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:21.707, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:24.758, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:27.807, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:30.856, 40 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:33.903, 38 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:36.950, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:05:40.002, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:05:43.050, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
